post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,featured,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:woo-feed-brand,tax:fb_product_set,meta:attr_label_translations,meta:description,meta:fb_product_description,meta:fb_product_group_id,meta:fb_product_image,meta:fb_product_item_id,meta:fb_product_price,meta:fb_visibility,meta:rs_page_bg_color,meta:shop_iner_breadcrumbs,meta:shop_inner_footer,meta:shop_inner_navigator,meta:shop_inner_style,meta:shop_single_bg_cl,meta:total_sales,meta:wcml_sync_hash,meta:wd_additional_variation_images_data,meta:wd_page_css_files,meta:woo_feed_material_var,meta:woo_variation_gallery_images,meta:woodmart_fbt_bundles_id,meta:woodmart_history_of_visits,meta:woodmart_price_unit_of_measure,meta:woodmart_sguide_select,meta:woodmart_total_stock_quantity,meta:woodmart_wc_video_gallery,meta:wpaicg_generate_description,meta:wpaicg_generate_meta,meta:wpaicg_generate_short,meta:wpaicg_generate_tags,meta:wpaicg_generate_title,meta:wpaicg_product_description,meta:wpaicg_product_short,meta:wpaicg_product_tags,meta:wpaicg_product_title,meta:attribute_pa_brand,meta:attribute_pa_color,meta:attribute_pa_fabric,meta:attribute_pa_material,meta:attribute_pa_quantity,meta:attribute_pa_sizes,meta:attribute_pa_texture,meta:attribute_pa_thickness,meta:attribute_size,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_color,attribute_data:pa_color,attribute_default:pa_color,attribute:pa_fabric,attribute_data:pa_fabric,attribute_default:pa_fabric,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_model,attribute_data:pa_model,attribute_default:pa_model,attribute:pa_sizes,attribute_data:pa_sizes,attribute_default:pa_sizes,attribute:pa_texture,attribute_data:pa_texture,attribute_default:pa_texture,attribute:pa_thickness,attribute_data:pa_thickness,attribute_default:pa_thickness,attribute:العدد,attribute_data:العدد,attribute_default:العدد
"شماغ العطار أحمر سوبر ديلوكس R16",شماغ-العطار-أحمر-سوبر-ديلوكس-r16,,2721,"تشتهر ماركة العطار خمس نجوم بخبرة عريقة في صناعة الأشمغة والغتر والاقمشة التي تناسب جميع الاذواق الراقية ولهذا اخترنا لكم أحد ما اختصت به هذه الماركة وهو عبارة عن شماع أحمر ، تم نسج الشماغ وفق أرقى وأعلى المواصفات والتصاميم التي تفتخر بأصالتها وتزهو بجمالها","تشتهر ماركة العطار خمس نجوم بخبرة عريقة في صناعة الأشمغة والغتر والاقمشة التي تناسب جميع الاذواق الراقية ولهذا اخترنا لكم أحد ما اختصت به هذه الماركة وهو عبارة عن شماع أحمر ، تم نسج الشماغ وفق أرقى وأعلى المواصفات والتصاميم التي تفتخر بأصالتها وتزهو بجمالها",publish,,0,"2020-06-02 11:21:43",6,open,120100588050-1,,,no,no,null,185,,,,,,,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2023/03/8U7A9081.jpg ! alt :  ! title : 8U7A9081 ! desc :  ! caption :  | https://kalash.gallery/wp-content/uploads/2023/03/8U7A9082.jpg ! alt :  ! title : 8U7A9082 ! desc :  ! caption : ",,https://kalash.gallery/product/%d8%b4%d9%85%d8%a7%d8%ba-%d8%a7%d9%84%d8%b9%d8%b7%d8%a7%d8%b1-%d8%a3%d8%ad%d9%85%d8%b1-%d8%b3%d9%88%d8%a8%d8%b1-%d8%af%d9%8a%d9%84%d9%88%d9%83%d8%b3-r16/,,,,,,,,1,60,,,variable,,"جميع المنتجات > شـــــــماغ|جميع المنتجات > شـــــــماغ > شماغ أحمر","مهرجان رمضان",,,,[],,,3617790888245013,,,,,,default,default,default,style_one,#000000,25,,,"[""widget-tag-cloud"",""widget-wd-layered-nav"",""woo-mod-swatches-base"",""woo-mod-swatches-filter"",""widget-layered-nav-stock-status"",""widget-product-list"",""widget-slider-price-filter"",""widget-woo-other"",""wpcf7"",""revolution-slider"",""woo-stripe"",""elementor-base"",""woo-extra-prod-opt"",""woocommerce-base"",""mod-star-rating"",""woo-el-track-order"",""woocommerce-block-notices"",""woo-mod-quantity"",""woo-opt-free-progress-bar"",""woo-mod-progress-bar"",""woo-single-prod-el-base"",""woo-mod-stock-status"",""woo-mod-shop-attributes"",""header-base"",""mod-tools"",""header-elements-base"",""social-icons"",""header-mobile-nav-dropdown"",""header-cart-side"",""header-cart"",""widget-shopping-cart"",""woo-single-prod-builder"",""woo-el-breadcrumbs-builder"",""woo-single-prod-el-navigation"",""woo-single-prod-el-gallery"",""woo-single-prod-el-gallery-opt-thumb-left-desktop"",""swiper"",""swiper-arrows"",""photoswipe"",""woo-mod-variation-form"",""woo-mod-variation-form-single"",""woo-mod-swatches-style-2"",""woo-mod-swatches-dis-2"",""mfp-popup"",""size-guide"",""woo-mod-product-count"",""woo-opt-visits-count"",""section-title"",""text-block"",""list"",""woo-single-prod-el-reviews"",""woo-single-prod-el-reviews-style-1"",""mod-comments"",""woo-single-prod-opt-rating-summary"",""product-loop"",""product-loop-base"",""woo-mod-add-btn-replace"",""mod-more-description"",""woo-opt-products-bg"",""woo-opt-stretch-cont"",""woo-opt-grid-gallery"",""woo-mod-product-labels"",""woo-mod-product-labels-round"",""product-loop-info"",""woo-opt-products-shadow"",""widget-collapse"",""footer-base"",""info-box"",""mod-nav-menu-label"",""scroll-top"",""wd-search-results"",""wd-search-form"",""header-my-account-sidebar"",""woo-mod-login-form"",""bottom-toolbar"",""header-my-account""]",,,"[""""]","[1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475,1725573475]",,none,,"{""21929"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""21930"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""}}",,,,,,,,,,,,,,,,,,,عطار,0|1|0,,,,,,,,,,,,,,50|52|55|58,1|1|1,,,,,,,,,,
"شماغ العطار أحمر سوبر ديلوكس R16 - 50",شماغ-العطار-أحمر-سوبر-ديلوكس-r16-50,2721,2724,,"المقاس: 50",publish,,1,"2023-03-05 02:37:59",6,closed,120100588050,120100588050-1,,no,no,null,185,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d8%b4%d9%85%d8%a7%d8%ba-%d8%a7%d9%84%d8%b9%d8%b7%d8%a7%d8%b1-%d8%a3%d8%ad%d9%85%d8%b1-%d8%b3%d9%88%d8%a8%d8%b1-%d8%af%d9%8a%d9%84%d9%88%d9%83%d8%b3-r16/,,,,,,,,,,,,,,,,,,,,,,,,3470817532987953,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,a,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماغ العطار أحمر سوبر ديلوكس R16 - 52",شماغ-العطار-أحمر-سوبر-ديلوكس-r16-52,2721,2725,,"المقاس: 52",publish,,2,"2023-03-05 02:37:59",6,closed,0120100588052,120100588050-1,,no,no,null,185,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d8%b4%d9%85%d8%a7%d8%ba-%d8%a7%d9%84%d8%b9%d8%b7%d8%a7%d8%b1-%d8%a3%d8%ad%d9%85%d8%b1-%d8%b3%d9%88%d8%a8%d8%b1-%d8%af%d9%8a%d9%84%d9%88%d9%83%d8%b3-r16/,,,,,,,,,,,,,,,,,,,,,,,,4518807611523554,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,b,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماغ العطار أحمر سوبر ديلوكس R16 - 55",شماغ-العطار-أحمر-سوبر-ديلوكس-r16-55,2721,2726,,"المقاس: 55",publish,,3,"2023-03-05 02:37:59",6,closed,0120100588055,120100588050-1,,no,no,16,185,,,,,,parent,instock,no,no,,yes,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d8%b4%d9%85%d8%a7%d8%ba-%d8%a7%d9%84%d8%b9%d8%b7%d8%a7%d8%b1-%d8%a3%d8%ad%d9%85%d8%b1-%d8%b3%d9%88%d8%a8%d8%b1-%d8%af%d9%8a%d9%84%d9%88%d9%83%d8%b3-r16/,,,,,,,,,,,,,,,,,,,,,,,,3268379676543692,,yes,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,c,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"شماغ العطار أحمر سوبر ديلوكس R16 - 58",شماغ-العطار-أحمر-سوبر-ديلوكس-r16-58,2721,2727,,"المقاس: 58",publish,,4,"2023-03-05 02:37:59",6,closed,0120100588058,120100588050-1,,no,no,null,185,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d8%b4%d9%85%d8%a7%d8%ba-%d8%a7%d9%84%d8%b9%d8%b7%d8%a7%d8%b1-%d8%a3%d8%ad%d9%85%d8%b1-%d8%b3%d9%88%d8%a8%d8%b1-%d8%af%d9%8a%d9%84%d9%88%d9%83%d8%b3-r16/,,,,,,,,,,,,,,,,,,,,,,,,3624929377526578,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,d,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"وزار دلة قطن عضوي",وزار-دلة-قطن-عضوي,,2728,"وزار دله المصنوع بعانية خاصة من القطن العضوي الهندي وغير المعالج كيميائيا ولهذا تم نسج الوزار وفق أرقى وأعلى الموصفات لتكون مريحه أثناء الارتداء","وزار دله المصنوع بعانية خاصة من القطن العضوي الهندي وغير المعالج كيميائيا ولهذا تم نسج الوزار وفق أرقى وأعلى الموصفات لتكون مريحه أثناء الارتداء",publish,,0,"2020-06-02 11:15:52",6,open,0630100001001-1,,,no,no,null,55,,,,,,,instock,no,no,,no,taxable,,,1,,,,'-1,'-1,,,"https://kalash.gallery/wp-content/uploads/2020/06/وزار-دلة.jpg ! alt :  ! title : وزار دلة ! desc :  ! caption :  | https://kalash.gallery/wp-content/uploads/2020/06/وزار-دلة1.jpg ! alt :  ! title : وزار دلة1 ! desc :  ! caption :  | https://kalash.gallery/wp-content/uploads/2020/06/وزار-دلة2.jpg ! alt :  ! title : وزار دلة2 ! desc :  ! caption :  | https://kalash.gallery/wp-content/uploads/2023/03/DSC_0311_Website.jpg ! alt :  ! title : DSC_0311_Website ! desc :  ! caption : ",,https://kalash.gallery/product/%d9%88%d8%b2%d8%a7%d8%b1-%d8%af%d9%84%d8%a9-%d9%82%d8%b7%d9%86-%d8%b9%d8%b6%d9%88%d9%8a/,,,,,,,,1,60,,,variable,rated-5,"جميع المنتجات > ملابس داخلية|جميع المنتجات > ملابس داخلية > وزار",,,,,[],,,,,,,,,default,default,default,style_one,#000000,235,,,"[""widget-tag-cloud"",""widget-wd-layered-nav"",""woo-mod-swatches-base"",""woo-mod-swatches-filter"",""widget-layered-nav-stock-status"",""widget-product-list"",""widget-slider-price-filter"",""widget-woo-other"",""wpcf7"",""revolution-slider"",""woo-stripe"",""elementor-base"",""woo-extra-prod-opt"",""woocommerce-base"",""mod-star-rating"",""woo-el-track-order"",""woocommerce-block-notices"",""woo-mod-quantity"",""woo-opt-free-progress-bar"",""woo-mod-progress-bar"",""woo-single-prod-el-base"",""woo-mod-stock-status"",""woo-mod-shop-attributes"",""header-base"",""mod-tools"",""header-elements-base"",""social-icons"",""header-search"",""header-search-form"",""wd-search-results"",""wd-search-form"",""wd-search-cat"",""info-box"",""header-cart-design-3"",""header-cart-side"",""header-cart"",""widget-shopping-cart"",""header-mobile-nav-dropdown"",""header-categories-nav"",""mod-nav-vertical"",""mod-nav-vertical-design-default"",""woo-mod-login-form"",""header-my-account"",""woo-single-prod-builder"",""woo-el-breadcrumbs-builder"",""woo-single-prod-el-navigation"",""woo-single-prod-el-gallery"",""woo-single-prod-el-gallery-opt-thumb-left-desktop"",""swiper"",""woo-mod-product-labels"",""woo-mod-product-labels-round"",""swiper-arrows"",""photoswipe"",""woo-mod-variation-form"",""woo-mod-variation-form-single"",""woo-mod-swatches-style-2"",""woo-mod-swatches-dis-2"",""woo-mod-product-count"",""woo-opt-visits-count"",""section-title"",""text-block"",""list"",""woo-single-prod-el-reviews"",""woo-single-prod-el-reviews-style-1"",""mod-comments"",""woo-single-prod-opt-rating-summary"",""product-loop"",""product-loop-base"",""woo-mod-add-btn-replace"",""mod-more-description"",""woo-opt-products-bg"",""woo-opt-stretch-cont"",""woo-opt-grid-gallery"",""mfp-popup"",""product-loop-info"",""woo-opt-products-shadow"",""footer-base"",""mod-nav-menu-label"",""scroll-top"",""header-my-account-sidebar"",""bottom-toolbar""]",,,"[""""]","[1725568154,1725568154,1725568154,1725568154,1725568154,1725568154,1725568154,1725568154,1725568154,1725568154]",,none,,"{""31292"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""},""21933"":{""video_type"":""mp4"",""upload_video_id"":"""",""upload_video_url"":"""",""youtube_url"":"""",""vimeo_url"":"""",""autoplay"":""0"",""video_size"":""contain"",""video_control"":""theme"",""hide_gallery_img"":""0"",""hide_information"":""0"",""audio_status"":""unmute""}}",,,,,,,,,,,,,,,,,,,دله,0|1|0,,,,,,,,"قطن 100%",2|1|0,,,,,"2.25 متر|2.5 متر|مترين",1|1|1,,,,,,,,,,
"وزار دلة قطن عضوي - 2.5 متر",وزار-دلة-قطن-عضوي-2-5-متر,2728,20699,,"المقاس: 2.5 متر",publish,,1,"2023-03-05 02:37:58",6,closed,0630100001003,0630100001001-1,,no,no,null,75,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d9%88%d8%b2%d8%a7%d8%b1-%d8%af%d9%84%d8%a9-%d9%82%d8%b7%d9%86-%d8%b9%d8%b6%d9%88%d9%8a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5 متر",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"وزار دلة قطن عضوي - مترين",وزار-دلة-قطن-عضوي-مترين,2728,2731,,"المقاس: مترين",publish,,2,"2023-03-05 02:37:58",6,closed,0630100001001,0630100001001-1,,no,no,null,55,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d9%88%d8%b2%d8%a7%d8%b1-%d8%af%d9%84%d8%a9-%d9%82%d8%b7%d9%86-%d8%b9%d8%b6%d9%88%d9%8a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,مترين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"وزار دلة قطن عضوي - 2.25 متر",وزار-دلة-قطن-عضوي-2-25-متر,2728,2732,,"المقاس: 2.25 متر",publish,,3,"2023-03-05 02:37:59",6,closed,0630100001002,0630100001001-1,,no,no,null,65,,,,,,parent,instock,no,no,,no,taxable,,,,,,,'-1,'-1,,,,,https://kalash.gallery/product/%d9%88%d8%b2%d8%a7%d8%b1-%d8%af%d9%84%d8%a9-%d9%82%d8%b7%d9%86-%d8%b9%d8%b6%d9%88%d9%8a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,"2.25 متر",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
